Customer ID,Country Code,Product Code,Transaction Date,Price,Sale Price,Category
1001233,IN,100125,1-Jun-17,399,NA,T-Shirt
1001233,IN,100126,1-Jun-17,499,NA,Jeans
1001233,IN,100127,1-Jun-17,599,NA,Shirt
1001233,IN,100128,1-Jun-17,699,NA,Blazer
1001233,IN,100129,1-Jun-17,799,NA,Shorts
1001233,IN,100130,1-Jun-17,899,NA,Underwear
1001233,IN,100131,1-Jun-17,999,NA,Ball
1001233,IN,100132,1-Jun-17,1099,NA,Bat
1001233,IN,100133,1-Jun-17,1199,NA,Tie
1001233,IN,100134,1-Jun-17,1299,NA,Mouse
1001233,IN,100135,1-Jun-17,1399,NA,Headphones
1001233,IN,100136,1-Jun-17,1499,NA,Bottle
1001233,IN,100137,1-Jun-17,1599,NA,Table
1001233,IN,100138,1-Jun-17,1699,NA,Shoes
1001233,IN,100139,1-Jun-17,1799,NA,Wickets
1001233,IN,100140,1-Jun-17,1899,NA,Chair
1001233,IN,100125,1-Jun-17,399,NA,T-Shirt
1001233,IN,100126,1-Jun-17,499,NA,Jeans
1001233,IN,100127,1-Jun-17,599,NA,Shirt
1001233,IN,100128,1-Jun-17,699,NA,Blazer
1001233,IN,100129,1-Jun-17,799,NA,Shorts
1001233,IN,100130,1-Jun-17,899,NA,Underwear
1001233,IN,100131,1-Jun-17,999,NA,Ball
1001233,IN,100132,1-Jun-17,1099,NA,Bat
1001233,IN,100133,1-Jun-17,1199,NA,Tie
1001233,IN,100134,1-Jun-17,1299,NA,Mouse
1001233,IN,100135,1-Jun-17,1399,NA,Headphones
1001233,IN,100136,1-Jun-17,1499,NA,Bottle
1001233,IN,100137,1-Jun-17,1599,NA,Table
1001233,IN,100138,1-Jun-17,1699,NA,Shoes
1001233,IN,100139,1-Jun-17,1799,NA,Wickets
1001233,IN,100140,1-Jun-17,1899,NA,Chair
1001233,IN,100125,1-Jun-17,399,NA,T-Shirt
1001233,IN,100126,1-Jun-17,499,NA,Jeans
1001233,IN,100127,1-Jun-17,599,NA,Shirt
1001233,IN,100128,1-Jun-17,699,NA,Blazer
1001233,IN,100129,1-Jun-17,799,NA,Shorts
1001233,IN,100130,1-Jun-17,899,NA,Underwear
1001233,IN,100131,1-Jun-17,999,NA,Ball
1001233,IN,100132,1-Jun-17,1099,NA,Bat
1001233,IN,100133,1-Jun-17,1199,NA,Tie
1001233,IN,100134,1-Jun-17,1299,NA,Mouse
1001233,IN,100135,1-Jun-17,1399,NA,Headphones
1001233,IN,100136,1-Jun-17,1499,NA,Bottle
1001233,IN,100137,1-Jun-17,1599,NA,Table
1001233,IN,100138,1-Jun-17,1699,NA,Shoes
1001233,IN,100139,1-Jun-17,1799,NA,Wickets
1001233,IN,100140,1-Jun-17,1899,NA,Chair
1001233,IN,100125,1-Jun-17,399,NA,T-Shirt
1001233,IN,100126,1-Jun-17,499,NA,Jeans